,tweet
43,@Hadisofyand @VIVAcoid Suporter arema itu menolak rekomendasi TGIPF. Itu sama dengan menolak bantuan hukum pemerintah.  Lantas mau apa ? Nunggu arema sendiri yg nyelesai'in baru liga di putar. Mereka saja tidak bisa mnyelesaikan dualismenya kok berharap nyelesai'in tragedi kanjuruhan.
44,"@pssi @Liga1Match banned yang byk dan larang main yg lama si diego michiels, baru jg pertandingan pertama setelah tragedi kanjuruhan, cb tadi klo ada penonton, bs tambah panas lagi situasi di tribun dgn aksi bodohnya."
45,"@PSSI mohon dengan tegas banned diego michiels yang lama kalau bisa ampe akhir musim dah dia yg ngeludah duluan, tampar pemain, playing victim tonjok dr belakang pula 2 kali main tangan sudah sangat tidak beradab, apalagi baru pertandingan pertama setelah tragedi kanjuruhan."
46,"Pemerintah memutuskan untuk melanjutkan kompetisi sepak bola Liga 1 yang sebelumnya sempat tertunda akibat adanya tragedi di Stadion Kanjuruhan, Kabupaten Malang.  Jakarta, 6 Desember 2022 Biro Pers, Media, dan Informasi Sekretariat Presiden  https://t.co/mR9aeGuBTj  https://t.co/iH9EVxjvO7"
47,Langkah pertama yang akan dilakukan adalah menarik kembali kepercayaan Aremania terhadap klub Singo Edan pasca Tragedi Kanjuruhan.  https://t.co/okk6Fne5Do
48,"Menteri Pemuda dan Olahraga (Menpora), Zainudin Amali, dalam keterangannya di Kompleks Istana Kepresidenan, Jakarta, Selasa, 6 Desember 2022, mengatakan bahwa rekomendasi-rekomendasi terkait evaluasi tragedi Kanjuruhan juga berjalan secara paralel.  https://t.co/6hUVc0LsPY"
49,"Pemerintah memutuskan untuk melanjutkan kompetisi sepak bola Liga 1 yang sebelumnya sempat tertunda akibat adanya tragedi di Stadion Kanjuruhan, Kabupaten Malang.  https://t.co/SrcyurPqRj"
50,@BroadcastBola Baru juga mulai stlah tragedi kanjuruhan reda udah begini..😏🥱
51,"Info untuk penggemar bola.🙋 Pemerintah @jokowi memutuskan untuk melanjutkan kompetisi sepak bola Liga 1 yang sebelumnya sempat tertunda akibat adanya tragedi di Stadion Kanjuruhan, Kab Malang.  https://t.co/hmuO7VZwI6  https://t.co/SyCfcCph1u"
52,"@dairydoang @VIVAcoid Yg ngemis siapa ?? Korban tragedi Kanjuruhan MAYORITAS di sebabkan GAM , Bukan baku Tikam .  Rekomendasi Bloom selesai di jalankan, laga UDAH berjalan."
53,"Semua Match akan menjadi biasa aja, terlepas belum jelasnya yang terjadi dengan tragedi Kanjuruhan.. #UsutTuntas"
54,Tragedi Kanjuruhan Pelanggaran hAM Berat  https://t.co/Cpl412KLwp
55,"Menteri Pemuda dan Olahraga (Menpora), Zainudin Amali, dalam keterangannya di Kompleks Istana Kepresidenan, Jakarta, Selasa, 6 Desember 2022, mengatakan bahwa rekomendasi-rekomendasi terkait evaluasi tragedi Kanjuruhan juga berjalan secara paralel.  https://t.co/7oB8zh8cjK"
56,"*Pemerintah Putuskan Kompetisi Liga 1 Dilanjutkan*  Pemerintah memutuskan untuk melanjutkan kompetisi sepak bola Liga 1 yang sebelumnya sempat tertunda akibat adanya tragedi di Stadion Kanjuruhan, Kabupaten Malang.  https://t.co/Hj29ARf0DB"
57,@iriawan84 Transisi...SOP... itu tragedi Kanjuruhan gimana pak...ga lupa kan?
58,@RojaliFirm @Persija_Jkt Sikap kita sebagai supporter gimana? Menarik diri dari tribun selama blm ada hukum yg jelas atas tragedi kanjuruhan. Terus pemain harus seperti apa? Mereka di kontrak klub loh
59,"Pemerintah putuskan untuk melanjutkan kompetisi sepak bola Liga 1 yg sebelumnya sempat tertunda akibat adanya tragedi di Stadion Kanjuruhan. Menpora Zainudin Amali, dalam keterangannya mengatakan bahwa rekomendasi2 terkait evaluasi tragedi Kanjuruhan juga berjalan secara paralel.  https://t.co/npAQQ2uycn"
60,"Menteri Pemuda dan Olahraga (Menpora) Zainudin Amali dalam keterangannya di komplek Istana Kepresidenan, Jakarta, selasa 6 Desember 2022. menyatakan bahwa rekomendasi-rekomendasi terkait evaluasi tragedi Kanjuruhan juga berjalan secara paralel.  https://t.co/NKKBmEJEnV"
61,"Pemerintah memutuskan untuk melanjutkan kompetisi sepak bola Liga 1 yang sebelumnya sempat tertunda akibat adanya tragedi di Stadion Kanjuruhan, kabupaten Malang.  https://t.co/p2q1NEujEi"
62,"Pemerintah Putuskan Kompetisi Liga 1 Dilanjutkan  Menpora, Zainudin Amali, dalam keterangannya di Kompleks Istana Kepresidenan, Jakarta, Selasa, 6 Desember 2022, mengatakan bahwa rekomendasi2 terkait evaluasi tragedi Kanjuruhan juga berjalan secara paralel.  https://t.co/WVbZnzYDlh"
63,Ada yg nonton lagi liga indon setelah tragedi Kanjuruhan aja sudah aneh.
64,@garagarabola_ Perdebatan antar siporter mengenai kinerja wasit dll membikin lupa atas tragedi kanjuruhan
65,"Menteri Pemuda dan Olahraga (Menpora), Zainudin Amali, dalam keterangannya di Kompleks Istana Kepresidenan, Jakarta, Selasa, 6 Desember 2022, mengatakan bahwa rekomendasi-rekomendasi terkait evaluasi tragedi Kanjuruhan juga berjalan secara paralel."
66,"*Pemerintah Putuskan Kompetisi Liga 1 Dilanjutkan*  Pemerintah memutuskan untuk melanjutkan kompetisi sepak bola Liga 1 yang sebelumnya sempat tertunda akibat adanya tragedi di Stadion Kanjuruhan, Kabupaten Malang.  https://t.co/5yFoLw7cBb"
67,Akun2 bola yg kemaren mengutuk tragedi Kanjuruhan dan minta kasus tersebut untuk diusut tuntas sekarang bareng2 update liga Indonesia. 🤡
68,"Tragedi kanjuruhan kek antiklimaks, tau tau liganya dah jalan lagi aja.. 🙃"
69,BRI Liga 1 2022/2023 akhirnya resmi diputar kembali setelah dihentikan pasca-tragedi Kanjuruhan.  SELENGKAPNYA DI  https://t.co/ZelyFAHr3z . #suroboyowani27 #surabaya #bonek #persebaya  #Indonesia  https://t.co/3lPLh11I0w
70,"@kejar_sayang @FaktaSepakbola Gua ngurusin liga indo? Ya karena gue miris sama tragedi kanjuruhan kemarin, kebetulan temen gue ada yg jadi korban nya dan doi ga turun ke bawah tp kena gas nya. Mana keadilan nya? Mana hukuman nya? GA SETIMPAL BANGET ANJING @PSSI @pt_lib"
71,@MafiaWasit urusan tragedi kanjuruhan rung kelar kok malah bal²an maneh. geblek pancen.
72,"Kirain Tragedi Kanjuruhan udh cukup bikin stakeholder sepakbola Indonesia pada sadar, ternyata sama aja. Ga bisa berharap apa2 pula."
73,Males ikutin Liga 1 lagi gegara #TragediKanjuruhan. Entah sampai kapan. Mungkin sampai benar terjadi perbaikan...
74,"@Fahrulihzaa @BroadcastBola Buat apa mentingin rating. Mentingin itu perasaan kita saat nonton pertandingan nya itu. Gue sih miris ya sama liga indo yg ga tegas dalam menghukum tragedi kanjuruhan kemarin, kasian gue sama keluarga korban 😢"
75,"um! Ayok ayok wes gausah gontok2 an isu pemira, masih banyak isu yang harus kita kawal USUT TUNTAS TRAGEDI KANJURUHAN, KITA TOLAK RKUHP DISAH KAN, #.semua bisa kena. Sudah saat nya kita terus melawan 🌻"
76,"Padahal sebelum tragedi kanjuruhan, getol banget ngikutin tiap pertandingan liga 1. Tapi sekarang udah males banget"
77,Laga perdana setelah Liga 1 bergulir kembali bakal dilakoni oleh Arema FC melawan Dewa United. Sekaligus ajang ujian mental pasca Tragedi Kanjuruhan.  https://t.co/wmSzoOQKEC
78,"Cuma kasus Ferdy Sambo yang tidak tenggelam oleh berita apapun.. Tragedi Kanjuruhan, Gempa Bumi sampe Piala dunia tetep aja balik lagi sidang sambo lagi  😄"
79,"@FaktaSepakbola Wah tragedi kanjuruhan hanya sekadar angka bagi kebanyakan warga bola indon (ya pengelola, klub dan fans ori maupun layar kaca)"
